1	436	2021-11-10 18:28:06.972	涉及冒用他人身分的情形以		經審查並未違反規定!	false
2	728	2021-11-10 18:28:06.972	含有色情或仇恨內容		經審查並未違反規定!	false
3	257	2021-11-10 18:28:06.972	含有色情或仇恨內容		經審查並未違反規定!	false
4	164	2021-11-10 18:28:06.972	其他違反		經審查並未違反規定!	false
5	203	2021-11-10 18:28:06.972	其他違反		經審查並未違反規定!	false
6	443	2021-11-10 18:28:06.972	其他違反		經審查並未違反規定!	false
7	144	2021-11-10 18:28:06.972	涉及冒用他人身分的情形以		經審查並未違反規定!	false
8	333	2021-11-10 18:28:06.972	其他違反		經審查並未違反規定!	false
9	272	2021-11-10 18:28:06.972	涉及冒用他人身分的情形以		經審查並未違反規定!	false
10	660	2021-11-10 18:28:06.973	含有色情或仇恨內容		經審查並未違反規定!	false
11	26	2021-11-10 18:28:06.973	涉及冒用他人身分的情形以		經審查並未違反規定!	false
12	343	2021-11-10 18:28:06.973	其他違反		經審查並未違反規定!	false
13	360	2021-11-10 18:28:06.973	涉及冒用他人身分的情形以		經審查並未違反規定!	false
14	608	2021-11-10 18:28:06.973	其他違反		經審查並未違反規定!	false
15	157	2021-11-10 18:28:06.973	含有色情或仇恨內容		經審查並未違反規定!	false
16	688	2021-11-10 18:28:06.973	含有色情或仇恨內容		經審查並未違反規定!	false
17	651	2021-11-10 18:28:06.973	其他違反		經審查並未違反規定!	false
18	239	2021-11-10 18:28:06.973	含有色情或仇恨內容		經審查並未違反規定!	false
19	463	2021-11-10 18:28:06.973	涉及冒用他人身分的情形以		經審查並未違反規定!	false
20	222	2021-11-10 18:28:06.974	涉及冒用他人身分的情形以		經審查並未違反規定!	false
21	687	2021-11-10 18:28:06.974	含有色情或仇恨內容		經審查並未違反規定!	false
22	685	2021-11-10 18:28:06.974	其他違反		經審查並未違反規定!	false
23	408	2021-11-10 18:28:06.974	含有色情或仇恨內容		經審查並未違反規定!	false
24	733	2021-11-10 18:28:06.974	其他違反		經審查並未違反規定!	false
25	272	2021-11-10 18:28:06.974	其他違反		經審查並未違反規定!	false
26	682	2021-11-10 18:28:06.974	涉及冒用他人身分的情形以		經審查並未違反規定!	false
27	641	2021-11-10 18:28:06.974	含有色情或仇恨內容		經審查並未違反規定!	false
28	425	2021-11-10 18:28:06.974	涉及冒用他人身分的情形以		經審查並未違反規定!	false
29	318	2021-11-10 18:28:06.974	涉及冒用他人身分的情形以		經審查並未違反規定!	false
30	640	2021-11-10 18:28:06.974	其他違反		經審查並未違反規定!	false
31	261	2021-11-10 18:28:06.975	其他違反		經審查並未違反規定!	false
32	526	2021-11-10 18:28:06.975	其他違反		經審查並未違反規定!	false
33	49	2021-11-10 18:28:06.975	含有色情或仇恨內容		經審查並未違反規定!	false
34	451	2021-11-10 18:28:06.975	涉及冒用他人身分的情形以		經審查並未違反規定!	false
35	402	2021-11-10 18:28:06.975	其他違反		經審查並未違反規定!	false
36	443	2021-11-10 18:28:06.975	涉及冒用他人身分的情形以		經審查並未違反規定!	false
37	526	2021-11-10 18:28:06.975	含有色情或仇恨內容		經審查並未違反規定!	false
38	642	2021-11-10 18:28:06.975	其他違反		經審查並未違反規定!	false
39	65	2021-11-10 18:28:06.975	含有色情或仇恨內容		經審查並未違反規定!	false
40	288	2021-11-10 18:28:06.975	含有色情或仇恨內容		經審查並未違反規定!	false
